no,kode_skpd,nama_skpd,komisi,kode_kegiatan,nama_kegiatan,pagu,tambah,kurang,hasil_pembahasan,hasil_pemprov_version,delta = hasil_pembahasan - hasil_pemprov_version,flag,kegiatan_versi_pemprov_yang_namanya_mirip,% kemiripan,hasil_pemprov_version_yang_mirip,delta = hasil_pemprov_version_yang_mirip - hasil_pemprov_version
1,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.43.020.001,Penyelengaraan Fungsi DIKLAT,"550,000,000",0,"55,000,000","495,000,000","549,999,225","-54,999,225",Perfect match,,,,
2,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.43.020.002,Pembangunan dan Pengembangan Teknologi Kediklatan,"1,965,699,630",0,"965,699,630","1,000,000,000","1,965,690,000","-965,690,000",Perfect match,,,,
3,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.43.020.003,Partisipasi  Peyelenggaraan  Kerjasama Kediklatan dan Penjaminan Mutu,"23,003,872,500",0,"5,750,000,000","17,253,872,500","23,003,872,400","-5,749,999,900",Matched by kode kegiatan,,,,
4,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.44.020.001,"Penyelenggaraan Diklat Peningkatan Kapasitas Penjenjangan Dasar, Menengah dan Lanjutan","27,260,946,002",0,"6,803,000,000","20,457,946,002","27,260,946,002","-6,803,000,000",Perfect match,,,,
5,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.44.020.004,Penyelenggaraan Diklat Pengembangan Kapasitas Fungsional dan Teknis,"7,511,685,250",0,"751,168,525","6,760,516,725","7,511,618,750","-751,102,025",Perfect match,,,,
6,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.44.020.005,Pengembangan Penyelenggaraan  Uji Kompetensi dan Sertifikasi,"1,600,000,000",0,"160,000,000","1,440,000,000","1,586,197,500","-146,197,500",Matched by kode kegiatan,,,,
7,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.61.020.001,Penyelenggaraan Operasional Kantor Badan Pendidikan dan Pelatihan,"9,807,678,916",0,"9,807,678,916","8,826,911,024","9,807,676,508","-980,765,484",Perfect match,,,,
8,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.61.020.004,Penyediaan Jasa TALI dan IPAL (12 Bulan),"350,000,000",0,0,"350,000,000","349,999,925",75,Perfect match,,,,
9,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.61.020.005,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,"200,000,000",0,"20,000,000","180,000,000","199,994,650","-19,994,650",Perfect match,,,,
10,1.20.020,BADAN PENDIDIKAN DAN PELATIHAN,A,1.20.69.020.001,Penyusunan Revisi Renstra SKPD,"150,000,000",0,0,"150,000,000","147,188,400","2,811,600",Perfect match,,,,
11,1.19.001,BADAN KESATUAN BANGSA DAN POLITIK,A,1.19.01.001.007,Fasilitasi Pengembangan Wawasan Kebangsaan,"1,200,000,000",0,0,"1,200,000,000","1,199,104,800","895,200",Perfect match,,,,
12,1.19.001,BADAN KESATUAN BANGSA DAN POLITIK,A,1.19.04.001.001,Fasilitasi Pendidikan Politik Masyarakat,"1,150,000,000",0,0,"1,150,000,000","1,132,977,000","17,023,000",Perfect match,,,,
13,1.19.001,BADAN KESATUAN BANGSA DAN POLITIK,A,1.19.05.001.002,Fasilitasi Pencegahan dan Penanggulangan Konflik,"1,200,000,000",0,0,"1,200,000,000","1,199,981,650","18,350",Perfect match,,,,
14,1.19.001,BADAN KESATUAN BANGSA DAN POLITIK,A,1.19.08.001.001,Fasilitasi Penguatan hubungan Kelembagaan,"1,200,000,000",0,0,"1,200,000,000","1,193,229,300","6,770,700",Perfect match,,,,
15,1.19.001,BADAN KESATUAN BANGSA DAN POLITIK,A,1.19.09.001.005,"Penyusunan Program Kerja, Monitoring, Evaluasi dan Pelaporan urusan SKPD","2,800,000,000",0,"280,000,000","2,520,000,000","2,607,017,780","-87,017,780",Perfect match,,,,
16,1.19.001,BADAN KESATUAN BANGSA DAN POLITIK,A,1.19.09.001.007,Penyelenggaraan Operasional Kantor Badan Kesatuan Bangsa dan Politik,"1,573,540,000",0,"157,354,000","1,416,186,000","1,573,539,200","-157,353,200",Perfect match,,,,
17,1.19.001,BADAN KESATUAN BANGSA DAN POLITIK,A,1.19.17.001.001,Penyusunan Revisi Renstra SKPD,"150,000,000",0,0,"150,000,000","147,421,500","2,578,500",Perfect match,,,,
18,1.19.002,Kantor Kesatuan Bangsa dan Politik - JAKPUS,A,1.19.01.002.006,Koordinasi  Kelembagaan dan Peningkatan Wawasan Kebangsaan Jakarta Pusat,"1,300,000,000",0,"130,000,000","1,170,000,000","1,142,423,900","27,576,100",Matched by kode kegiatan,,,,
19,1.19.002,Kantor Kesatuan Bangsa dan Politik - JAKPUS,A,1.19.04.002.001,Pembinaan Kesbangpol Masyarakat Jakarta Pusat,"1,200,000,000",0,0,"1,200,000,000",,"1,200,000,000",Not found in Pemprov version based on kode & nama kegiatan,pelayanan kesehatan masyarakat jakarta pusat,0.7333333333333333,"450,146,310","749,853,690"
20,1.19.002,Kantor Kesatuan Bangsa dan Politik - JAKPUS,A,1.19.09.002.001,Penyelenggaraan Operasional Kantor Kesbangpol Jakarta Pusat,"400,000,000",0,0,"400,000,000","322,814,271","77,185,729",Perfect match,,,,
21,1.19.002,Kantor Kesatuan Bangsa dan Politik - JAKPUS,A,1.19.09.002.002,Penyediaan Jasa TALI dan IPAL (12 Bulan),"12,000,000",0,0,"12,000,000","11,940,000","60,000",Perfect match,,,,
22,1.19.002,Kantor Kesatuan Bangsa dan Politik - JAKPUS,A,1.19.09.002.003,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,0,0,0,0,Too many variants,,Matched by nama kegiatan,,,,
23,1.19.003,Kantor Kesatuan Bangsa dan Politik - JAKUT,A,1.19.01.003.004,Pembinaan Kesbangpol bagi masyarakat Jakarta Utara,"1,000,000,000",0,0,"1,000,000,000",,"1,000,000,000",Not found in Pemprov version based on kode & nama kegiatan,pelayanan kesehatan masyarakat jakarta utara,0.68,"1,667,042,950","-667,042,950"
24,1.19.003,Kantor Kesatuan Bangsa dan Politik - JAKUT,A,1.19.08.003.001,Koordinasi Kelembagaan dan Peningkatan Wawasan Kebangsaan Jakarta Utara,"1,300,000,000",0,0,"1,300,000,000","1,299,064,400","935,600",Perfect match,,,,
25,1.19.003,Kantor Kesatuan Bangsa dan Politik - JAKUT,A,1.19.09.003.001,Penyelenggaraan Operasional Kantor Kesbangpol Jakarta Utara,"375,000,000",0,0,"375,000,000","366,141,443","8,858,557",Perfect match,,,,
26,1.19.003,Kantor Kesatuan Bangsa dan Politik - JAKUT,A,1.19.09.003.002,Penyediaan Jasa TALI dan IPAL (12 Bulan),"12,000,000",0,0,"12,000,000","11,940,000","60,000",Perfect match,,,,
27,1.19.003,Kantor Kesatuan Bangsa dan Politik - JAKUT,A,1.19.11.003.001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,0,0,0,0,Too many variants,,Matched by nama kegiatan,,,,
28,1.19.004,Kantor Kesatuan Bangsa dan Politik - JAKBAR,A,1.19.01.004.006,Koordinasi  Kelembagaan dan Peningkatan Wawasan Kebangsaan Jakarta Barat,"1,300,000,000",0,0,"1,300,000,000","1,298,566,400","1,433,600",Matched by kode kegiatan,,,,
29,1.19.004,Kantor Kesatuan Bangsa dan Politik - JAKBAR,A,1.19.04.004.003,Pembinaan Kesbangpol Masyarakat Jakarta Barat,"1,000,000,000",0,0,"1,000,000,000",,"1,000,000,000",Not found in Pemprov version based on kode & nama kegiatan,pelayanan kesehatan masyarakat jakarta barat,0.7333333333333333,"1,999,999,863","-999,999,863"
30,1.19.004,Kantor Kesatuan Bangsa dan Politik - JAKBAR,A,1.19.09.004.002,Penyediaan Jasa TALI dan IPAL (12 Bulan),"12,000,000",0,0,"12,000,000","11,940,000","60,000",Perfect match,,,,
31,1.19.004,Kantor Kesatuan Bangsa dan Politik - JAKBAR,A,1.19.09.004.003,Penyelenggaraan Operasional Kantor Kesbangpol Jakarta Barat,"400,000,000",0,0,"400,000,000","352,317,200","47,682,800",Perfect match,,,,
32,1.19.004,Kantor Kesatuan Bangsa dan Politik - JAKBAR,A,1.19.11.004.001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,0,0,0,0,Too many variants,,Matched by nama kegiatan,,,,
